,0
813,1
814,0
815,0
816,0
817,1
818,0
819,0
820,1
821,0
822,0
823,1
824,0
825,0
826,0
827,1
828,1
829,0
830,0
831,1
832,0
833,0
834,1
835,0
836,0
837,0
838,1
839,0
840,1
841,1
842,0
843,0
844,1
845,1
846,1
847,0
848,1
849,1
850,1
851,0
852,0
853,0
854,0
855,0
856,0
857,1
858,0
859,1
860,0
861,0
862,0
863,0
864,0
865,0
866,1
867,0
868,1
869,0
870,1
871,1
872,1
873,1
874,1
875,0
876,1
877,0
878,0
879,1
880,0
881,0
882,0
883,1
884,1
885,1
886,0
887,0
888,1
889,0
890,1
891,0
892,1
893,0
894,0
895,0
896,0
897,1
898,1
899,0
900,1
901,1
902,1
903,1
904,0
905,1
906,1
907,1
908,1
909,0
910,0
911,1
912,0
913,1
914,1
915,1
916,1
917,1
918,1
919,1
920,0
921,1
922,0
923,0
924,1
925,0
926,1
927,1
928,0
929,1
930,0
931,0
932,1
933,0
934,1
935,0
936,0
937,1
938,0
939,0
940,1
941,0
942,1
943,1
944,0
945,1
946,1
947,1
948,0
949,0
950,1
951,1
952,0
953,1
954,1
955,0
956,0
957,1
958,0
959,0
960,1
961,1
962,0
963,1
964,0
965,1
966,0
967,1
968,1
969,1
970,1
971,1
972,0
973,1
974,1
975,1
976,1
977,0
978,1
979,0
980,0
981,0
982,0
983,1
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,1
993,0
994,1
995,1
996,1
997,1
998,0
999,1
1000,1
1001,0
1002,0
1003,0
1004,1
1005,1
1006,1
1007,1
1008,1
1009,0
1010,1
1011,0
1012,0
1013,1
1014,1
1015,1
1016,0
1017,1
1018,0
1019,1
1020,0
1021,0
1022,1
1023,1
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,1
1031,1
1032,1
1033,1
1034,1
1035,0
1036,1
1037,1
1038,0
1039,1
1040,1
1041,0
1042,0
1043,1
1044,1
1045,0
1046,1
1047,0
1048,0
1049,0
1050,1
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,1
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,1
1067,1
1068,0
1069,0
1070,1
1071,0
1072,1
1073,1
1074,0
1075,1
1076,1
1077,1
1078,1
1079,1
1080,1
1081,0
1082,1
1083,0
1084,0
1085,1
1086,0
1087,0
1088,0
1089,1
1090,1
1091,1
1092,0
1093,0
1094,1
1095,1
1096,0
1097,1
1098,1
1099,0
1100,0
1101,0
1102,0
1103,0
1104,1
1105,0
1106,1
1107,0
1108,1
1109,0
1110,0
1111,1
1112,0
1113,0
1114,1
1115,1
1116,1
1117,1
1118,0
1119,1
1120,0
1121,0
1122,0
1123,1
1124,0
1125,0
1126,1
1127,0
1128,0
1129,1
1130,0
1131,1
1132,1
1133,1
1134,0
1135,1
1136,1
1137,1
1138,1
1139,0
1140,0
1141,1
1142,0
1143,0
1144,1
1145,1
1146,0
1147,1
1148,1
1149,0
1150,1
1151,0
1152,1
1153,0
1154,1
1155,1
1156,0
1157,1
1158,0
1159,1
1160,1
1161,0
1162,0
1163,0
1164,0
1165,0
1166,1
1167,1
1168,0
1169,1
1170,1
1171,0
1172,1
1173,0
1174,0
1175,1
1176,0
1177,1
1178,0
1179,0
1180,0
1181,1
1182,1
1183,1
1184,0
1185,0
1186,0
1187,1
1188,1
1189,0
1190,1
1191,1
1192,0
1193,1
1194,1
1195,1
1196,1
1197,0
1198,1
1199,1
1200,0
1201,0
1202,0
1203,1
1204,0
1205,1
1206,0
1207,1
1208,1
1209,0
1210,1
1211,1
1212,1
1213,1
1214,0
1215,1
1216,1
1217,1
1218,1
1219,0
1220,0
1221,1
1222,1
1223,0
1224,0
1225,1
1226,1
1227,1
1228,0
1229,0
1230,1
1231,1
1232,1
1233,0
1234,0
1235,0
1236,0
1237,0
1238,1
1239,1
1240,0
1241,1
1242,0
1243,1
1244,1
1245,0
1246,0
1247,1
1248,0
1249,0
1250,1
1251,1
1252,0
1253,1
1254,1
1255,0
1256,1
1257,1
1258,1
1259,0
1260,0
1261,1
1262,0
1263,1
1264,0
1265,1
1266,1
1267,1
1268,0
1269,1
1270,0
1271,1
1272,1
1273,0
1274,0
1275,1
1276,0
1277,1
1278,0
1279,0
1280,1
1281,0
1282,1
1283,0
1284,0
1285,1
1286,1
1287,1
1288,1
1289,1
1290,0
1291,1
1292,0
1293,0
1294,1
1295,0
1296,0
1297,1
1298,1
1299,0
1300,1
1301,0
1302,0
1303,0
1304,0
1305,0
1306,0
1307,1
1308,1
1309,0
1310,1
1311,1
1312,0
1313,0
1314,1
1315,0
1316,0
1317,1
1318,1
1319,1
1320,1
1321,1
1322,0
1323,1
1324,0
1325,1
1326,0
1327,0
1328,0
1329,1
1330,1
1331,1
1332,1
1333,0
1334,1
1335,0
1336,1
1337,1
1338,0
1339,1
1340,1
1341,0
1342,1
1343,1
1344,1
1345,0
1346,0
1347,1
1348,0
1349,0
1350,0
1351,0
1352,1
1353,0
1354,0
1355,0
1356,0
1357,0
1358,1
1359,1
1360,1
1361,1
1362,1
1363,1
1364,1
1365,1
1366,1
1367,0
1368,1
1369,1
1370,0
1371,0
1372,1
1373,1
1374,0
1375,1
1376,0
1377,1
1378,0
1379,0
1380,0
1381,1
1382,1
1383,1
1384,0
1385,1
1386,0
1387,0
1388,0
1389,1
1390,0
1391,0
1392,0
1393,1
1394,0
1395,0
1396,1
1397,1
1398,1
1399,1
1400,1
1401,1
1402,1
1403,0
1404,0
1405,1
1406,1
1407,0
1408,1
1409,1
1410,0
1411,1
1412,1
1413,0
1414,0
1415,1
1416,1
1417,1
1418,1
1419,1
1420,0
1421,1
1422,0
1423,0
1424,0
1425,1
1426,1
1427,0
1428,0
1429,0
1430,0
1431,0
1432,0
1433,1
1434,1
1435,1
1436,1
1437,0
1438,1
1439,1
1440,0
1441,0
1442,1
1443,0
1444,0
1445,1
1446,1
1447,0
1448,0
1449,1
1450,0
1451,1
1452,1
1453,1
1454,0
1455,1
1456,1
1457,1
1458,0
1459,0
1460,1
1461,1
1462,1
1463,1
1464,0
1465,0
1466,1
1467,1
1468,1
1469,1
1470,0
1471,1
1472,0
1473,1
1474,1
1475,0
1476,0
1477,0
1478,0
1479,1
1480,1
1481,1
1482,1
1483,1
1484,1
1485,1
1486,0
1487,1
1488,0
1489,1
1490,1
1491,1
1492,1
1493,1
1494,1
1495,1
1496,0
1497,0
1498,1
1499,1
1500,0
1501,1
1502,0
1503,1
1504,0
1505,0
1506,0
1507,1
1508,1
1509,0
1510,0
1511,0
1512,1
1513,0
1514,1
1515,0
1516,0
1517,0
1518,1
1519,0
1520,1
1521,0
1522,1
1523,0
1524,1
1525,1
1526,0
1527,0
1528,1
1529,1
1530,0
1531,1
1532,1
1533,0
1534,1
1535,1
1536,0
1537,0
1538,0
1539,1
1540,0
1541,1
1542,0
1543,0
1544,0
1545,1
1546,0
1547,0
1548,0
1549,0
1550,0
1551,0
1552,0
1553,1
1554,0
1555,0
1556,1
1557,1
1558,0
1559,0
1560,0
1561,1
1562,0
1563,1
1564,0
1565,1
1566,0
1567,1
1568,1
1569,1
1570,1
1571,1
1572,1
1573,0
1574,0
1575,0
1576,0
1577,1
1578,1
1579,0
1580,1
1581,0
1582,0
1583,1
1584,0
1585,1
1586,0
1587,0
1588,1
1589,0
1590,1
1591,0
1592,0
1593,1
1594,1
1595,1
1596,1
1597,0
1598,1
1599,1
1600,1
1601,0
1602,0
1603,0
1604,1
1605,0
1606,1
1607,0
1608,0
1609,0
1610,1
1611,0
1612,1
1613,0
1614,1
1615,0
1616,0
1617,1
1618,1
1619,1
1620,1
1621,1
1622,0
1623,0
1624,1
1625,1
1626,1
1627,1
1628,1
1629,0
1630,1
1631,1
1632,1
1633,1
1634,0
1635,1
1636,0
1637,1
1638,0
1639,1
1640,0
1641,1
1642,0
1643,0
1644,0
1645,1
1646,0
1647,0
1648,1
1649,1
1650,0
1651,0
1652,0
1653,1
1654,1
1655,1
1656,0
1657,1
1658,0
1659,1
1660,0
1661,0
1662,0
1663,0
1664,1
1665,1
1666,1
1667,0
1668,0
1669,1
1670,0
1671,0
1672,0
1673,1
1674,0
1675,0
1676,0
1677,1
1678,0
1679,1
1680,0
1681,1
1682,1
1683,1
1684,1
1685,0
1686,1
1687,0
1688,1
1689,1
1690,0
1691,0
1692,0
1693,0
1694,0
1695,0
1696,1
1697,1
1698,0
1699,0
1700,0
1701,0
1702,0
1703,1
1704,0
1705,0
1706,1
1707,0
1708,0
1709,1
1710,0
1711,0
1712,1
1713,1
1714,1
1715,1
1716,1
1717,1
1718,1
1719,0
1720,0
1721,1
1722,1
1723,0
1724,1
1725,1
1726,0
1727,0
1728,0
1729,1
1730,1
1731,1
1732,0
1733,1
1734,0
1735,0
1736,1
1737,0
1738,1
1739,1
1740,0
1741,0
1742,0
1743,0
1744,0
1745,0
1746,1
1747,0
1748,0
1749,0
1750,1
1751,1
1752,0
1753,1
1754,0
1755,0
1756,1
1757,1
1758,0
1759,0
1760,0
1761,0
1762,0
1763,1
1764,1
1765,0
1766,0
1767,0
1768,1
1769,0
1770,1
1771,0
1772,0
1773,0
1774,1
1775,0
1776,0
1777,0
1778,0
1779,1
1780,1
1781,0
1782,0
1783,0
1784,1
1785,0
1786,0
1787,1
1788,1
1789,1
1790,1
1791,1
1792,0
1793,1
1794,0
1795,1
1796,0
1797,1
1798,1
1799,1
1800,1
1801,1
1802,1
1803,0
1804,1
1805,1
1806,1
1807,0
1808,0
1809,0
1810,0
1811,1
1812,1
1813,0
1814,0
1815,0
1816,1
1817,1
1818,1
1819,1
1820,0
1821,0
1822,0
1823,1
1824,1
1825,0
1826,1
1827,1
1828,0
1829,0
1830,0
1831,1
1832,1
1833,0
1834,0
1835,1
1836,0
1837,0
1838,0
1839,0
1840,0
1841,1
1842,0
1843,1
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,1
1852,1
1853,0
1854,1
1855,0
1856,1
1857,1
1858,1
1859,1
1860,1
1861,1
1862,0
1863,0
1864,0
1865,1
1866,0
1867,0
1868,1
1869,1
1870,0
1871,0
1872,1
1873,1
1874,1
1875,0
1876,1
1877,0
1878,1
1879,1
1880,0
1881,1
1882,0
1883,1
1884,0
1885,0
1886,0
1887,1
1888,0
1889,1
1890,1
1891,0
1892,1
1893,1
1894,0
1895,0
1896,0
1897,1
1898,0
1899,0
1900,1
1901,1
1902,1
1903,0
1904,0
1905,0
1906,0
1907,1
1908,1
1909,0
1910,0
1911,1
1912,1
1913,0
1914,1
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,1
1925,1
1926,0
1927,1
1928,0
1929,1
1930,1
1931,0
1932,1
1933,0
1934,1
1935,0
1936,1
1937,1
1938,0
1939,1
1940,1
1941,0
1942,1
1943,0
1944,1
1945,1
1946,0
1947,0
1948,0
1949,1
1950,1
1951,1
1952,0
1953,0
1954,0
1955,1
1956,1
1957,1
1958,1
1959,0
1960,1
1961,1
1962,1
1963,1
1964,0
1965,0
1966,1
1967,0
1968,1
1969,0
1970,0
1971,0
1972,1
1973,1
1974,0
1975,0
1976,0
1977,1
1978,1
1979,0
1980,0
1981,0
1982,0
1983,1
1984,0
1985,0
1986,1
1987,0
1988,1
1989,1
1990,1
1991,0
1992,1
1993,0
1994,0
1995,0
1996,0
1997,1
1998,1
1999,1
2000,0
2001,0
2002,0
2003,1
2004,1
2005,0
2006,0
2007,0
2008,1
2009,1
2010,1
2011,1
2012,0
2013,1
2014,1
2015,1
2016,1
2017,0
2018,1
2019,0
2020,0
2021,1
2022,0
2023,0
2024,1
2025,1
2026,0
2027,1
2028,1
2029,1
2030,0
2031,1
2032,0
2033,1
2034,1
2035,0
2036,0
2037,0
2038,0
2039,0
2040,1
2041,0
2042,1
2043,1
2044,1
2045,1
2046,0
2047,1
2048,1
2049,1
2050,1
2051,0
2052,0
2053,1
2054,1
2055,0
2056,0
2057,1
2058,1
2059,1
2060,1
2061,0
2062,1
2063,1
2064,0
2065,1
2066,1
2067,1
2068,0
2069,0
2070,1
2071,0
2072,0
2073,0
2074,0
2075,1
2076,1
2077,1
2078,1
2079,1
2080,1
2081,0
2082,0
2083,1
2084,1
2085,1
2086,1
2087,1
2088,1
2089,0
2090,1
2091,1
2092,1
2093,0
2094,0
2095,1
2096,0
2097,1
2098,0
2099,0
2100,0
2101,0
2102,0
2103,0
2104,0
2105,1
2106,1
2107,0
2108,1
2109,0
2110,1
2111,1
2112,0
2113,0
2114,1
2115,0
2116,1
2117,0
2118,0
2119,0
2120,0
2121,0
2122,1
2123,1
2124,1
2125,1
2126,0
2127,1
2128,0
2129,1
2130,0
2131,1
2132,1
2133,0
2134,0
2135,1
2136,0
2137,0
2138,1
2139,1
2140,0
2141,0
2142,0
2143,1
2144,0
2145,0
2146,1
2147,0
2148,0
2149,0
2150,0
2151,0
2152,0
2153,1
2154,1
2155,1
2156,1
2157,1
2158,0
2159,0
2160,1
2161,1
2162,1
2163,1
2164,1
2165,0
2166,1
2167,0
2168,0
2169,0
2170,0
2171,1
2172,0
2173,0
2174,0
2175,0
2176,0
2177,1
2178,1
2179,0
2180,0
2181,0
2182,1
2183,0
2184,0
2185,0
2186,1
2187,1
2188,1
2189,0
2190,0
2191,0
2192,1
2193,1
2194,1
2195,1
2196,1
2197,1
2198,1
2199,1
2200,1
2201,0
2202,1
2203,1
2204,1
2205,0
2206,1
2207,0
2208,0
2209,0
2210,0
2211,1
2212,1
2213,1
2214,0
2215,1
2216,0
2217,0
2218,0
2219,1
2220,1
2221,1
2222,1
2223,1
2224,0
2225,1
2226,1
2227,1
2228,0
2229,1
2230,1
2231,0
2232,0
2233,0
2234,0
2235,0
2236,0
2237,0
2238,0
2239,0
2240,0
2241,0
2242,0
2243,0
2244,1
2245,1
2246,1
2247,1
2248,0
2249,1
2250,1
2251,1
2252,0
2253,0
2254,1
2255,0
2256,0
2257,0
2258,1
2259,1
2260,0
2261,0
2262,1
2263,1
2264,0
2265,0
2266,0
2267,0
2268,0
2269,1
2270,0
2271,1
2272,0
2273,0
2274,0
2275,1
2276,0
2277,1
2278,0
2279,1
2280,0
2281,1
2282,0
2283,0
2284,0
2285,1
2286,1
2287,1
2288,1
2289,1
2290,0
2291,1
2292,1
2293,1
2294,0
2295,1
2296,0
2297,0
2298,1
2299,1
2300,0
2301,0
2302,0
2303,0
2304,1
2305,0
2306,0
2307,0
2308,1
2309,1
2310,0
2311,0
2312,0
2313,1
2314,0
2315,0
2316,0
2317,1
2318,0
2319,1
2320,0
2321,1
2322,1
2323,0
2324,1
2325,0
2326,1
2327,1
2328,0
2329,1
2330,1
2331,0
2332,0
2333,0
2334,0
2335,0
2336,1
2337,1
2338,1
2339,1
2340,0
2341,0
2342,0
2343,0
2344,1
2345,0
2346,1
2347,0
2348,1
2349,0
2350,0
2351,1
2352,0
2353,0
2354,0
2355,1
2356,1
2357,0
2358,0
2359,1
2360,1
2361,0
2362,1
2363,1
2364,0
2365,0
2366,0
2367,1
2368,1
2369,1
2370,1
2371,1
2372,1
2373,1
2374,0
2375,1
2376,1
2377,1
2378,0
2379,0
2380,0
2381,0
2382,1
2383,0
2384,0
2385,1
2386,1
2387,1
2388,0
2389,1
2390,1
2391,1
2392,1
2393,0
2394,0
2395,0
2396,0
2397,1
2398,1
2399,1
2400,1
2401,1
2402,0
2403,0
2404,1
2405,1
2406,0
2407,1
2408,0
2409,0
2410,0
2411,0
2412,1
2413,0
2414,1
2415,1
2416,1
2417,0
2418,0
2419,1
2420,0
2421,0
2422,1
2423,0
2424,0
2425,0
2426,1
2427,0
2428,0
2429,0
2430,0
2431,1
2432,0
2433,1
2434,0
2435,0
2436,0
2437,1
2438,1
2439,0
2440,0
2441,0
2442,1
2443,1
2444,0
2445,0
2446,0
2447,1
2448,0
2449,0
2450,1
2451,1
2452,1
2453,0
2454,0
2455,1
2456,0
2457,1
2458,0
2459,0
2460,0
2461,0
2462,1
2463,1
2464,1
2465,0
2466,0
2467,0
2468,1
2469,0
2470,0
2471,0
2472,1
2473,0
2474,1
2475,0
2476,1
2477,1
2478,0
2479,0
2480,1
2481,0
2482,1
2483,1
2484,1
2485,0
2486,1
2487,0
2488,1
2489,1
2490,0
2491,1
2492,0
2493,0
2494,0
2495,1
2496,1
2497,1
2498,0
2499,1
2500,0
2501,1
2502,1
2503,1
2504,1
2505,0
2506,1
2507,0
2508,1
2509,0
2510,1
2511,1
2512,0
2513,1
2514,1
2515,1
2516,1
2517,0
2518,1
2519,1
2520,0
2521,0
2522,0
2523,1
2524,1
2525,0
2526,1
2527,0
2528,0
2529,1
2530,1
2531,0
2532,1
2533,1
2534,1
2535,1
2536,0
2537,1
2538,0
2539,1
2540,0
2541,0
2542,0
2543,0
2544,0
2545,0
2546,1
2547,1
2548,0
2549,1
2550,1
2551,0
2552,0
2553,1
2554,1
2555,1
2556,1
2557,1
2558,0
2559,1
2560,0
2561,1
2562,1
2563,0
2564,0
2565,0
2566,1
2567,0
2568,1
2569,0
2570,1
2571,0
2572,1
2573,1
2574,0
2575,0
2576,0
2577,0
2578,1
2579,0
2580,1
2581,0
2582,0
2583,1
2584,1
2585,1
2586,1
2587,0
2588,0
2589,1
2590,0
2591,1
2592,0
2593,0
2594,1
2595,0
2596,0
2597,0
2598,0
2599,0
2600,0
2601,1
2602,1
2603,0
2604,0
2605,1
2606,1
2607,0
2608,1
2609,1
2610,1
2611,0
2612,1
2613,0
2614,0
2615,0
2616,0
2617,1
2618,0
2619,1
2620,0
2621,1
2622,0
2623,1
2624,0
2625,1
2626,1
2627,0
2628,0
2629,1
2630,0
2631,0
2632,0
2633,1
2634,1
2635,0
2636,1
2637,0
2638,1
2639,1
2640,1
2641,0
2642,1
2643,1
2644,0
2645,1
2646,1
2647,0
2648,1
2649,0
2650,1
2651,1
2652,1
2653,0
2654,0
2655,1
2656,1
2657,0
2658,1
2659,0
2660,0
2661,0
2662,0
2663,0
2664,0
2665,0
2666,0
2667,0
2668,0
2669,0
2670,1
2671,0
2672,1
2673,0
2674,0
2675,0
2676,1
2677,0
2678,0
2679,1
2680,1
2681,1
2682,1
2683,0
2684,1
2685,1
2686,0
2687,1
2688,1
2689,1
2690,1
2691,0
2692,1
2693,0
2694,1
2695,1
2696,1
2697,1
2698,0
2699,1
2700,1
2701,0
2702,0
2703,0
2704,0
2705,0
2706,0
2707,0
2708,0
2709,1
2710,1
2711,1
2712,0
2713,1
2714,0
2715,1
2716,0
2717,0
2718,1
2719,0
2720,1
2721,1
2722,0
2723,1
2724,0
2725,0
2726,1
2727,1
2728,1
2729,1
2730,0
2731,1
2732,1
2733,0
2734,0
2735,1
2736,1
2737,1
2738,0
2739,0
2740,1
2741,0
2742,0
2743,0
2744,1
2745,1
2746,0
2747,1
2748,1
2749,1
2750,1
2751,0
2752,0
2753,1
2754,0
2755,0
2756,1
2757,1
2758,1
2759,0
2760,0
2761,1
2762,1
2763,1
2764,0
2765,1
2766,0
2767,0
2768,1
2769,1
2770,0
2771,0
2772,1
2773,0
2774,0
2775,1
2776,1
2777,1
2778,0
2779,1
2780,0
2781,0
2782,1
2783,1
2784,1
2785,0
2786,1
2787,1
2788,0
2789,0
2790,0
2791,0
2792,1
2793,0
2794,1
2795,0
2796,0
2797,0
2798,0
2799,0
2800,1
2801,0
2802,1
2803,0
2804,0
2805,0
2806,1
2807,1
2808,1
2809,1
2810,1
2811,0
2812,1
2813,0
2814,1
2815,0
2816,0
2817,1
2818,1
2819,0
2820,0
2821,0
2822,1
2823,0
2824,0
2825,0
2826,1
2827,1
2828,0
2829,0
2830,0
2831,0
2832,0
2833,0
2834,1
2835,0
2836,1
2837,0
2838,0
2839,0
2840,0
2841,0
2842,0
2843,0
2844,1
2845,0
2846,1
2847,1
2848,1
2849,0
2850,1
2851,1
2852,1
2853,0
2854,0
2855,1
2856,1
2857,0
2858,0
2859,0
2860,1
2861,0
2862,0
2863,1
2864,0
2865,0
2866,1
2867,0
2868,1
2869,0
2870,1
2871,1
2872,1
2873,1
2874,0
2875,0
2876,1
2877,0
2878,1
2879,0
2880,0
2881,0
2882,1
2883,1
2884,0
2885,1
2886,0
2887,0
2888,1
2889,1
2890,1
2891,0
2892,0
2893,1
2894,0
2895,1
2896,0
2897,0
2898,0
2899,0
2900,1
2901,0
2902,1
2903,1
2904,1
2905,0
2906,0
2907,1
2908,1
2909,0
2910,0
2911,1
2912,1
2913,1
2914,0
2915,1
2916,0
2917,1
2918,0
2919,1
2920,1
2921,1
2922,1
2923,0
2924,1
2925,1
2926,1
2927,0
2928,0
2929,1
2930,0
2931,1
2932,0
2933,0
2934,1
2935,1
2936,1
2937,0
2938,1
2939,0
2940,1
2941,0
2942,0
2943,0
2944,0
2945,0
2946,1
2947,0
2948,1
2949,1
2950,0
2951,1
2952,0
2953,1
2954,1
2955,1
2956,0
2957,0
2958,1
2959,0
2960,1
2961,1
2962,0
2963,1
2964,0
2965,0
2966,1
2967,1
2968,0
2969,0
2970,0
2971,1
2972,0
2973,1
2974,1
2975,1
2976,0
2977,1
2978,1
2979,0
2980,1
2981,0
2982,0
2983,1
2984,1
2985,1
2986,0
2987,0
2988,1
2989,0
2990,1
2991,1
2992,1
2993,0
2994,0
2995,0
2996,0
2997,0
